사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20240517,우이신설선,4.19민주묘지,4170,3947,20240520
20240517,경원선,가능,7698,7414,20240520
20240517,8호선,가락시장,9121,10204,20240520
20240517,3호선,가락시장,10986,10609,20240520
20240517,7호선,가산디지털단지,50898,51243,20240520
20240517,경부선,가산디지털단지,20404,22691,20240520
20240517,9호선,가양,25853,25105,20240520
20240517,우이신설선,가오리,5091,4989,20240520
20240517,경의선,가좌,7207,6774,20240520
20240517,분당선,가천대,12984,12539,20240520
20240517,경춘선,가평,2396,2638,20240520
20240517,경인선,간석,6973,6569,20240520
20240517,경춘선,갈매,3643,3071,20240520
20240517,2호선,강남,95116,93078,20240520
20240517,7호선,강남구청,18751,20932,20240520
20240517,분당선,강남구청,11373,13029,20240520
20240517,5호선,강동,20843,20036,20240520
20240517,8호선,강동구청,12169,12356,20240520
20240517,경의선,강매,4106,3471,20240520
20240517,2호선,강변(동서울터미널),36302,35108,20240520
20240517,5호선,강일,7414,6672,20240520
20240517,경춘선,강촌,504,643,20240520
20240517,5호선,개롱,7784,7832,20240520
20240517,경인선,개봉,25240,24637,20240520
20240517,분당선,개포동,5644,5517,20240520
20240517,9호선,개화,3298,2275,20240520
20240517,5호선,개화산,6807,6379,20240520
20240517,5호선,거여,11989,11528,20240520
20240517,7호선,건대입구,15588,16370,20240520
20240517,2호선,건대입구,43056,45628,20240520
20240517,공항철도 1호선,검암,7490,7919,20240520
20240517,경강선,경기광주,9414,8933,20240520
20240517,과천선,경마공원,7696,7855,20240520
20240517,3호선,경복궁(정부서울청사),31075,31767,20240520
20240517,3호선,경찰병원,8713,8534,20240520
20240517,공항철도 1호선,계양,15195,14453,20240520
20240517,5호선,고덕,12441,12094,20240520
20240517,6호선,고려대(종암),10928,10027,20240520
20240517,수인선,고색,6688,6307,20240520
20240517,3호선,고속터미널,57865,56611,20240520
20240517,7호선,고속터미널,21411,17333,20240520
20240517,9호선,고속터미널,19049,25931,20240520
20240517,안산선,고잔,10690,10266,20240520
20240517,경의선,곡산,859,891,20240520
20240517,경강선,곤지암,2656,2631,20240520
20240517,경의선,공덕,4684,4068,20240520
20240517,공항철도 1호선,공덕,3255,4467,20240520
20240517,5호선,공덕,17476,18095,20240520
20240517,6호선,공덕,22605,22332,20240520
20240517,7호선,공릉(서울과학기술대),15468,14850,20240520
20240517,9호선,공항시장,3555,3748,20240520
20240517,공항철도 1호선,공항화물청사,2269,2332,20240520
20240517,과천선,과천,8031,7345,20240520
20240517,경부선,관악,8641,8207,20240520
20240517,신림선,관악산(서울대),3795,3736,20240520
20240517,5호선,광나루(장신대),16551,15287,20240520
20240517,경부선,광명,4604,4067,20240520
20240517,7호선,광명사거리,23934,23523,20240520
20240517,경원선,광운대,10493,9679,20240520
20240517,5호선,광화문(세종문화회관),37911,40472,20240520
20240517,6호선,광흥창(서강),11098,10761,20240520
20240517,2호선,교대(법원.검찰청),37228,44913,20240520
20240517,3호선,교대(법원.검찰청),20743,12225,20240520
20240517,경부선,구로,19742,20317,20240520
20240517,2호선,구로디지털단지,66119,65390,20240520
20240517,분당선,구룡,4562,4352,20240520
20240517,중앙선,구리,15367,15970,20240520
20240517,9호선,구반포,1722,1729,20240520
20240517,6호선,구산,9770,7185,20240520
20240517,분당선,구성,6151,6372,20240520
20240517,2호선,구의(광진구청),28978,27742,20240520
20240517,경인선,구일,12826,13671,20240520
20240517,3호선,구파발,24982,24403,20240520
20240517,중앙선,국수,832,810,20240520
20240517,9호선,국회의사당,19143,19670,20240520
20240517,7호선,군자(능동),17852,13602,20240520
20240517,5호선,군자(능동),13973,15516,20240520
20240517,경부선,군포,8379,8175,20240520
20240517,경춘선,굴봉산,153,170,20240520
20240517,5호선,굽은다리(강동구민회관앞),11249,10505,20240520
20240517,경춘선,금곡,1799,1789,20240520
20240517,경의선,금릉,6697,6590,20240520
20240517,경부선,금정,32916,33474,20240520
20240517,경부선,금천구청,13981,14285,20240520
20240517,경의선,금촌,7889,7728,20240520
20240517,3호선,금호,9307,8555,20240520
20240517,분당선,기흥,12451,11743,20240520
20240517,5호선,길동,9606,9961,20240520
20240517,4호선,길음,25611,25142,20240520
20240517,경춘선,김유정,573,630,20240520
20240517,서해선,김포공항,3365,3848,20240520
20240517,9호선,김포공항,7627,10334,20240520
20240517,공항철도 1호선,김포공항,11406,5411,20240520
20240517,5호선,김포공항,10188,7642,20240520
20240517,5호선,까치산,32509,30600,20240520
20240517,2호선,낙성대(강감찬),32387,30404,20240520
20240517,7호선,남구로,16628,17742,20240520
20240517,수인선,남동인더스파크,2609,2909,20240520
20240517,3호선,남부터미널(예술의전당),35505,35782,20240520
