외구간_역_수,역한글명칭,호선명칭,환승역X좌표,환승역Y좌표,행정구
4128,삼성중앙,9호선(연장),127.053282,37.513011,강남구
4124,사평,9호선,127.015259,37.504206,서초구
4121,구반포,9호선,126.987332,37.501364,서초구
4119,흑석(중앙대입구),9호선,126.963708,37.50877,동작구
4116,샛강,9호선,126.928422,37.517274,영등포구
4113,당산,9호선,126.902809,37.533406,영등포구
4110,염창,9호선,126.874916,37.546936,양천구
4108,증미,9호선,126.861939,37.557402,강서구
4106,양천향교,9호선,126.841333,37.568381,강서구
4102,김포공항,9호선,126.802152,37.561916,강서구
158,청량리(서울시립대입구),1호선,127.044585,37.579956,동대문구
4612,곤제,의정부선,127.083715,37.750471,서울시 외부
420,혜화,4호선,127.001844,37.582336,종로구
4607,의정부중앙,의정부선,127.049565,37.743676,서울시 외부
4604,경전철의정부,의정부선,127.043257,37.737202,서울시 외부
419,한성대입구(삼선교),4호선,127.006221,37.588458,성북구
4515,둔전,에버라인선,127.21364,37.267051,서울시 외부
4511,김량장,에버라인선,127.198781,37.237247,서울시 외부
4506,초당,에버라인선,127.159443,37.260752,서울시 외부
4502,강남대,에버라인선,127.126033,37.270161,서울시 외부
414,수유(강북구청),4호선,127.025732,37.638052,강북구
1283,파주,경의중앙선,126.792783,37.815298,서울시 외부
1278,운정,경의중앙선,126.767257,37.725826,서울시 외부
1273,백마,경의중앙선,126.794461,37.658239,서울시 외부
1268,화전,경의중앙선,126.868387,37.602888,서울시 외부
1263,서강대,경의중앙선,126.935711,37.551881,마포구
157,제기동,1호선,127.034893,37.578103,동대문구
1508,이천,경강선,127.44226,37.265579,서울시 외부
1505,초월,경강선,127.299,37.374419,서울시 외부
1501,판교,경강선,127.111217,37.394761,서울시 외부
1849,강남구청,분당선,127.041151,37.517469,강남구
1889,숭의,수인선,126.638297,37.460789,서울시 외부
1405,배방,장항선,127.052991,36.777629,서울시 외부
331,남부터미널(예술의전당),3호선,127.016189,37.485013,서초구
1883,남동인더스파크,수인선,126.695216,37.407722,서울시 외부
1846,수원,분당선,126.999422,37.265917,서울시 외부
1914,보산,경원선,127.057277,37.913702,서울시 외부
1910,덕계,경원선,127.056486,37.818486,서울시 외부
1749,서동탄,경부선,127.051672,37.195504,서울시 외부
328,잠원,3호선,127.01122,37.512759,서초구
1869,망포,분당선,127.057353,37.245795,서울시 외부
1865,기흥,분당선,127.11591,37.275061,서울시 외부
1220,지평,중앙선,127.629874,37.476393,서울시 외부
326,압구정,3호선,127.028461,37.527072,강남구
1213,신원,중앙선,127.372921,37.525545,서울시 외부
1209,도심,중앙선,127.222672,37.579622,서울시 외부
1206,도농,중앙선,127.161153,37.608806,서울시 외부
1203,망우,중앙선,127.091909,37.59955,중랑구
324,금호,3호선,127.015872,37.548034,성동구
322,동대입구,3호선,127.005602,37.559052,중구
4316,성복,신분당선(연장),127.0801,37.313335,서울시 외부
4312,정자,신분당선,127.108403,37.367098,서울시 외부
320,을지로3가,3호선,126.992548,37.566672,중구
4307,강남,신분당선,127.028104,37.496837,서초구
317,경복궁(정부서울청사),3호선,126.97353,37.575762,종로구
1327,김유정,경춘선,127.71434,37.818466,서울시 외부
1324,굴봉산,경춘선,127.557695,37.832067,서울시 외부
1321,청평,경춘선,127.42661,37.735488,서울시 외부
1319,마석,경춘선,127.311767,37.652782,서울시 외부
1316,금곡,경춘선,127.207853,37.637382,서울시 외부
1313,별내,경춘선,127.12684,37.64202,서울시 외부
314,홍제,3호선,126.943736,37.589066,서대문구
313,녹번,3호선,126.935756,37.600927,은평구
3226,인천대공원,인천2호선,126.752618,37.448769,서울시 외부
3222,석천사거리,인천2호선,126.709986,37.456805,서울시 외부
3220,석바위시장,인천2호선,126.692575,37.457611,서울시 외부
3216,가재울,인천2호선,126.683673,37.484192,서울시 외부
3213,석남(거북시장),인천2호선,126.676203,37.506193,서울시 외부
3210,서구청,인천2호선,126.676787,37.543742,서울시 외부
3207,검암,인천2호선,126.675687,37.56866,서울시 외부
3204,마전,인천2호선,126.666998,37.597566,서울시 외부
246,신설동,2호선,127.024932,37.574747,동대문구
3137,센트럴파크,인천1호선,126.634729,37.393054,서울시 외부
3133,캠퍼스타운,인천1호선,126.661673,37.387855,서울시 외부
3130,원인재,인천1호선,126.687869,37.412333,서울시 외부
3127,문학경기장,인천1호선,126.698579,37.434935,서울시 외부
3124,인천시청,인천1호선,126.702143,37.457263,서울시 외부
3120,부평,인천1호선,126.723453,37.490535,서울시 외부
3118,부평구청,인천1호선,126.720555,37.508407,서울시 외부
3114,계산,인천1호선,126.728128,37.543238,서울시 외부
3110,계양,인천1호선,126.73578,37.571449,서울시 외부
154,종로5가,1호선,127.001849,37.570926,종로구
237,당산,2호선,126.902767,37.534946,영등포구
233,대림(구로구청),2호선,126.894932,37.493243,구로구
232,구로디지털단지,2호선,126.901401,37.485266,구로구
2754,부천종합운동장,7호선,126.797337,37.50538,서울시 외부
2824,단대오거리,8호선,127.156866,37.44521,서울시 외부
430,이촌(국립중앙박물관),4호선,126.974733,37.522295,용산구
4215,인천공항2터미널,공항철도1호선,126.441442,37.460699,서울시 외부
4213,인천공항1터미널,공항철도1호선,126.452508,37.447464,서울시 외부
4211,운서,공항철도1호선,126.49379,37.492904,서울시 외부
4210,청라국제도시,공항철도1호선,126.624648,37.556409,서울시 외부
429,신용산,4호선,126.967894,37.52917,용산구
4208,계양,공항철도1호선,126.7363,37.571662,서울시 외부
4207,김포공항,공항철도1호선,126.801904,37.561842,강서구
4204,디지털미디어시티,공항철도1호선,126.898609,37.576958,마포구
4202,공덕,공항철도1호선,126.952024,37.54253,마포구
4201,서울역,공항철도1호선,126.969769,37.553247,용산구
427,숙대입구(갈월),4호선,126.972106,37.54456,용산구
4713,신설동,우이신설선,127.023242,37.576095,동대문구
4711,성신여대입구(돈암),우이신설선,127.016516,37.592467,성북구
4710,정릉,우이신설선,127.013396,37.603133,성북구
4709,북한산보국문,우이신설선,127.008251,37.612072,성북구
4708,솔샘,우이신설선,127.013626,37.620238,강북구
4706,삼양,우이신설선,127.018106,37.626914,강북구
4705,화계,우이신설선,127.017511,37.634133,강북구
4704,가오리,우이신설선,127.016789,37.641537,강북구
4702,솔밭공원,우이신설선,127.013273,37.65603,강북구
4701,북한산우이,우이신설선,127.012706,37.662909,강북구
425,회현(남대문시장),4호선,126.978246,37.558514,중구
424,명동,4호선,126.986325,37.560989,중구
4129,봉은사,9호선(연장),127.060245,37.514219,강남구
4127,선정릉,9호선(연장),127.043999,37.510297,강남구
4126,언주,9호선(연장),127.033868,37.507287,강남구
4125,신논현,9호선,127.02506,37.504598,강남구
4123,고속터미널,9호선,127.004403,37.50598,서초구
4122,신반포,9호선,126.995925,37.503415,서초구
4120,동작(현충원),9호선,126.978153,37.502878,동작구
423,충무로,4호선,126.99408,37.561207,중구
4118,노들,9호선,126.953222,37.512887,동작구
4117,노량진,9호선,126.941005,37.513534,동작구
4115,여의도,9호선,126.92403,37.52176,영등포구
4114,국회의사당,9호선,126.917874,37.528105,영등포구
4112,선유도,9호선,126.893525,37.53802,영등포구
4111,신목동,9호선,126.88308,37.544277,양천구
422,동대문역사문화공원,4호선,127.007885,37.565133,중구
4109,등촌,9호선,126.865689,37.550632,양천구
